model,feature,layer,language,accuracy,macro_f1,majority,majority_acc,n,n_classes
xlsr53,manner,24,de_de,0.780812324929972,0.684789796501372,0.0972972972972973,0.32142857142857145,1428,5
xlsr53,manner,0,es_419,0.6615620214395099,0.6219944226447063,0.10080183276059565,0.33690658499234305,1306,5
xlsr53,manner,6,es_419,0.7419601837672282,0.7119559124401503,0.10080183276059565,0.33690658499234305,1306,5
xlsr53,manner,12,es_419,0.7526799387442573,0.7502988153894719,0.10080183276059565,0.33690658499234305,1306,5
xlsr53,manner,18,es_419,0.7741194486983155,0.7309023868747683,0.10080183276059565,0.33690658499234305,1306,5
xlsr53,manner,24,es_419,0.7771822358346095,0.7139987304649964,0.10080183276059565,0.33690658499234305,1306,5
xlsr53,place,0,en_us,0.6676245210727969,0.5745413364057432,0.2707622298065984,0.6839080459770115,1044,3
xlsr53,place,6,en_us,0.8639846743295019,0.8103464936113273,0.2707622298065984,0.6839080459770115,1044,3
xlsr53,place,12,en_us,0.8869731800766284,0.8417021153690452,0.2707622298065984,0.6839080459770115,1044,3
xlsr53,place,18,en_us,0.9042145593869731,0.8620498950142218,0.2707622298065984,0.6839080459770115,1044,3
xlsr53,place,24,en_us,0.85727969348659,0.8038821695425469,0.2707622298065984,0.6839080459770115,1044,3
xlsr53,place,0,de_de,0.7219887955182073,0.6831284680116121,0.24430641821946172,0.5784313725490197,1428,3
xlsr53,place,6,de_de,0.7955182072829131,0.7665644721693458,0.24430641821946172,0.5784313725490197,1428,3
xlsr53,place,12,de_de,0.822829131652661,0.7960617433699452,0.24430641821946172,0.5784313725490197,1428,3
xlsr53,place,18,de_de,0.8501400560224089,0.8245884508256268,0.24430641821946172,0.5784313725490197,1428,3
xlsr53,place,24,de_de,0.8585434173669467,0.8392821329781168,0.24430641821946172,0.5784313725490197,1428,3
xlsr53,place,0,es_419,0.7036753445635529,0.6141348569989026,0.2744744744744745,0.6998468606431854,1306,3
xlsr53,place,6,es_419,0.8124042879019908,0.7335059828875803,0.2744744744744745,0.6998468606431854,1306,3
xlsr53,place,12,es_419,0.8147013782542113,0.7357650659914091,0.2744744744744745,0.6998468606431854,1306,3
xlsr53,place,18,es_419,0.8346094946401225,0.7641996924376536,0.2744744744744745,0.6998468606431854,1306,3
xlsr53,place,24,es_419,0.8131699846860643,0.748656759998133,0.2744744744744745,0.6998468606431854,1306,3
xlsr300m,voicing,0,en_us,0.7813953488372093,0.7740884171409125,0.3701171875,0.5875968992248062,645,2
xlsr300m,voicing,6,en_us,0.8248062015503876,0.8195580862783933,0.3701171875,0.5875968992248062,645,2
xlsr300m,voicing,12,en_us,0.8496124031007752,0.8436457419611194,0.3701171875,0.5875968992248062,645,2
