model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,place,0,de_de,0.6998259342179594,0.0184216620216214,0.6641936672195252,0.0190567234220408,0.2447730915658932,0.0017257705833894,0.5802037676173076,0.0064610685407107,7137,3,5
base,place,0,es_419,0.6838200261991532,0.0260568469541353,0.5974025075855476,0.03029321932456,0.2744490324222233,0.0017620701607989,0.6997710708561967,0.0076736859779251,6527,3,5
base,voicing,2,en_us,0.7962419654705416,0.025890910280494,0.7922848631991436,0.0270746159666214,0.3635478122434126,0.0065156472513934,0.5713758230838103,0.0162048585431784,3225,2,5
base,voicing,2,de_de,0.790339756532223,0.0182202523940434,0.7838350888705301,0.019057820492563,0.3777473386959393,0.0023806385764874,0.6070878683327399,0.0061761042622737,4378,2,5
base,voicing,2,es_419,0.8101750547231195,0.0403074966469931,0.7894870594315611,0.0457322450949748,0.4020137145795053,0.0102300852890658,0.672765813488936,0.028450638772566,3895,2,5
base,nasal,2,en_us,0.8803825180368928,0.0062718207328762,0.7469049442251275,0.0184903019874841,0.4708542834800743,0.000998723438648,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,2,de_de,0.8635227548523936,0.0061149453594461,0.7689192646263241,0.0105793393546009,0.4631361452178664,0.002013484514065,0.8626957651200764,0.0069674358671549,11952,2,5
base,nasal,2,es_419,0.8549322542505923,0.022109908113817,0.7038698236422807,0.02768448239342,0.4732518176840951,0.0009884608688558,0.8984470179298196,0.0035569652039121,11564,2,5
base,manner,2,en_us,0.6976169075531068,0.0056971918286121,0.6459839662337836,0.0053106402438727,0.0967739300855188,0.0019868885261517,0.3192048040209283,0.0087012505226066,5220,5,5
base,manner,2,de_de,0.6903826044147385,0.0053932351631722,0.6031553517830275,0.0115970067815616,0.0964573612325561,0.0025802959505719,0.3178662146015167,0.0110796054927506,7137,5,5
base,manner,2,es_419,0.6687345953405899,0.046875841684725,0.594347952178443,0.047994519475517,0.0993967967884852,0.0015992278675927,0.3306956045218964,0.0071042750691257,6527,5,5
base,place,2,en_us,0.7917591781794682,0.0085040123631934,0.7156024358257759,0.0059863625625288,0.2695526351283239,0.0026746492934694,0.6788552512228371,0.0113326899587328,5220,3,5
base,place,2,de_de,0.748325215582852,0.0133770638643378,0.7166437016293983,0.0149874474742222,0.2447730915658932,0.0017257705833894,0.5802037676173076,0.0064610685407107,7137,3,5
base,place,2,es_419,0.7285411249212979,0.0367665692294929,0.6469378803640187,0.0410806272905444,0.2744490324222233,0.0017620701607989,0.6997710708561967,0.0076736859779251,6527,3,5
base,voicing,4,en_us,0.8484933083132498,0.010597363258837,0.8453377138498883,0.0117031492068769,0.3635478122434126,0.0065156472513934,0.5713758230838103,0.0162048585431784,3225,2,5
base,voicing,4,de_de,0.8164803624857294,0.0072130351347502,0.8097467805986207,0.0081627446277246,0.3777473386959393,0.0023806385764874,0.6070878683327399,0.0061761042622737,4378,2,5
base,voicing,4,es_419,0.8136699599179213,0.0357251586029874,0.7938811782287848,0.0377306243721942,0.4020137145795053,0.0102300852890658,0.672765813488936,0.028450638772566,3895,2,5
base,nasal,4,en_us,0.8977718636256885,0.0043077816417136,0.7767369333636209,0.0145116309931856,0.4708542834800743,0.000998723438648,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,4,de_de,0.8697080533260471,0.0098821085878593,0.7783222140634116,0.0075321510731706,0.4631361452178664,0.002013484514065,0.8626957651200764,0.0069674358671549,11952,2,5
base,nasal,4,es_419,0.8481921918519838,0.0399857334412452,0.6974365870998187,0.0390073108968791,0.4732518176840951,0.0009884608688558,0.8984470179298196,0.0035569652039121,11564,2,5
base,manner,4,en_us,0.7659383349759945,0.0118668543869121,0.7272332141699019,0.0103052379635482,0.0967739300855188,0.0019868885261517,0.3192048040209283,0.0087012505226066,5220,5,5
base,manner,4,de_de,0.7084267122999266,0.0149465830187229,0.6256561954110745,0.0143798171940537,0.0964573612325561,0.0025802959505719,0.3178662146015167,0.0110796054927506,7137,5,5
base,manner,4,es_419,0.6941254151353694,0.0421803433888349,0.605619123053927,0.0329249314420253,0.0993967967884852,0.0015992278675927,0.3306956045218964,0.0071042750691257,6527,5,5
base,place,4,en_us,0.8648411252496624,0.0134074586398888,0.816021866683676,0.0169140164297751,0.2695526351283239,0.0026746492934694,0.6788552512228371,0.0113326899587328,5220,3,5
base,place,4,de_de,0.7747824345422302,0.0104668040169945,0.7441019622900821,0.0151842440712641,0.2447730915658932,0.0017257705833894,0.5802037676173076,0.0064610685407107,7137,3,5
base,place,4,es_419,0.7577787238739259,0.0433737200438606,0.6824161638713108,0.0483428174768607,0.2744490324222233,0.0017620701607989,0.6997710708561967,0.0076736859779251,6527,3,5
base,voicing,6,en_us,0.8817771866381439,0.0034181007424028,0.8792565176054232,0.0030202315464478,0.3635478122434126,0.0065156472513934,0.5713758230838103,0.0162048585431784,3225,2,5
base,voicing,6,de_de,0.8157839931117306,0.0076390934382853,0.8091681405886393,0.0075947431662103,0.3777473386959393,0.0023806385764874,0.6070878683327399,0.0061761042622737,4378,2,5
base,voicing,6,es_419,0.8247735250164407,0.0420922561556252,0.8093731845228836,0.0430091501954777,0.4020137145795053,0.0102300852890658,0.672765813488936,0.028450638772566,3895,2,5
base,nasal,6,en_us,0.9074708394874884,0.005772970229001,0.7893498361415773,0.015866939763619,0.4708542834800743,0.000998723438648,0.889845334030811,0.0035679468958034,8766,2,5
